surveyID	surveyTargetValue	surveyTargetType	includeOrExclude	surveyTargetID
5-2	Lobodon carcinophaga	taxon	include	344008
5-2	Mirounga leonina	taxon	include	231413
50-1	Hydrurga leptonyx	taxon	include	231417
50-1	Leptonychotes weddellii	taxon	include	195932
50-1	Lobodon carcinophaga	taxon	include	344008
50-1	Mirounga leonina	taxon	include	231413
50-2	Hydrurga leptonyx	taxon	include	231417
50-2	Leptonychotes weddellii	taxon	include	195932
50-2	Lobodon carcinophaga	taxon	include	344008
50-2	Mirounga leonina	taxon	include	231413
51-1	Hydrurga leptonyx	taxon	include	231417
51-1	Leptonychotes weddellii	taxon	include	195932
51-1	Lobodon carcinophaga	taxon	include	344008
51-1	Mirounga leonina	taxon	include	231413
51-2	Hydrurga leptonyx	taxon	include	231417
51-2	Leptonychotes weddellii	taxon	include	195932
51-2	Lobodon carcinophaga	taxon	include	344008
51-2	Mirounga leonina	taxon	include	231413
52-1	Hydrurga leptonyx	taxon	include	231417
52-1	Leptonychotes weddellii	taxon	include	195932
52-1	Lobodon carcinophaga	taxon	include	344008
52-1	Mirounga leonina	taxon	include	231413
52-2	Hydrurga leptonyx	taxon	include	231417
52-2	Leptonychotes weddellii	taxon	include	195932
52-2	Lobodon carcinophaga	taxon	include	344008
52-2	Mirounga leonina	taxon	include	231413
53-1	Hydrurga leptonyx	taxon	include	231417
53-1	Leptonychotes weddellii	taxon	include	195932
53-1	Lobodon carcinophaga	taxon	include	344008
53-1	Mirounga leonina	taxon	include	231413
53-2	Hydrurga leptonyx	taxon	include	231417
53-2	Leptonychotes weddellii	taxon	include	195932
53-2	Lobodon carcinophaga	taxon	include	344008
53-2	Mirounga leonina	taxon	include	231413
54-1	Hydrurga leptonyx	taxon	include	231417
54-1	Leptonychotes weddellii	taxon	include	195932
54-1	Lobodon carcinophaga	taxon	include	344008
54-1	Mirounga leonina	taxon	include	231413
54-2	Hydrurga leptonyx	taxon	include	231417
54-2	Leptonychotes weddellii	taxon	include	195932
54-2	Lobodon carcinophaga	taxon	include	344008
54-2	Mirounga leonina	taxon	include	231413
55-1	Hydrurga leptonyx	taxon	include	231417
55-1	Leptonychotes weddellii	taxon	include	195932
55-1	Lobodon carcinophaga	taxon	include	344008
55-1	Mirounga leonina	taxon	include	231413
55-2	Hydrurga leptonyx	taxon	include	231417
55-2	Leptonychotes weddellii	taxon	include	195932
55-2	Lobodon carcinophaga	taxon	include	344008
55-2	Mirounga leonina	taxon	include	231413
56-1	Hydrurga leptonyx	taxon	include	231417
56-1	Leptonychotes weddellii	taxon	include	195932
56-1	Lobodon carcinophaga	taxon	include	344008
56-1	Mirounga leonina	taxon	include	231413
56-2	Hydrurga leptonyx	taxon	include	231417
56-2	Leptonychotes weddellii	taxon	include	195932
56-2	Lobodon carcinophaga	taxon	include	344008
56-2	Mirounga leonina	taxon	include	231413
57-1	Hydrurga leptonyx	taxon	include	231417
57-1	Leptonychotes weddellii	taxon	include	195932
57-1	Lobodon carcinophaga	taxon	include	344008
57-1	Mirounga leonina	taxon	include	231413
57-2	Hydrurga leptonyx	taxon	include	231417
57-2	Leptonychotes weddellii	taxon	include	195932
57-2	Lobodon carcinophaga	taxon	include	344008
57-2	Mirounga leonina	taxon	include	231413
58-1	Hydrurga leptonyx	taxon	include	231417
58-1	Leptonychotes weddellii	taxon	include	195932
58-1	Lobodon carcinophaga	taxon	include	344008
58-1	Mirounga leonina	taxon	include	231413
58-2	Hydrurga leptonyx	taxon	include	231417
58-2	Leptonychotes weddellii	taxon	include	195932
58-2	Lobodon carcinophaga	taxon	include	344008
58-2	Mirounga leonina	taxon	include	231413
59-1	Hydrurga leptonyx	taxon	include	231417
59-1	Leptonychotes weddellii	taxon	include	195932
59-1	Lobodon carcinophaga	taxon	include	344008
59-1	Mirounga leonina	taxon	include	231413
59-2	Hydrurga leptonyx	taxon	include	231417
59-2	Leptonychotes weddellii	taxon	include	195932
59-2	Lobodon carcinophaga	taxon	include	344008
59-2	Mirounga leonina	taxon	include	231413
6-1	Hydrurga leptonyx	taxon	include	231417
6-1	Leptonychotes weddellii	taxon	include	195932
6-1	Lobodon carcinophaga	taxon	include	344008
6-1	Mirounga leonina	taxon	include	231413
6-2	Hydrurga leptonyx	taxon	include	231417
6-2	Leptonychotes weddellii	taxon	include	195932
6-2	Lobodon carcinophaga	taxon	include	344008
6-2	Mirounga leonina	taxon	include	231413
60-1	Hydrurga leptonyx	taxon	include	231417
60-1	Leptonychotes weddellii	taxon	include	195932
60-1	Lobodon carcinophaga	taxon	include	344008
60-1	Mirounga leonina	taxon	include	231413
60-2	Hydrurga leptonyx	taxon	include	231417
60-2	Leptonychotes weddellii	taxon	include	195932
60-2	Lobodon carcinophaga	taxon	include	344008
60-2	Mirounga leonina	taxon	include	231413
61-1	Hydrurga leptonyx	taxon	include	231417
61-1	Leptonychotes weddellii	taxon	include	195932
61-1	Lobodon carcinophaga	taxon	include	344008
61-1	Mirounga leonina	taxon	include	231413
61-2	Hydrurga leptonyx	taxon	include	231417
61-2	Leptonychotes weddellii	taxon	include	195932
61-2	Lobodon carcinophaga	taxon	include	344008
61-2	Mirounga leonina	taxon	include	231413
62-1	Hydrurga leptonyx	taxon	include	231417
62-1	Leptonychotes weddellii	taxon	include	195932
62-1	Lobodon carcinophaga	taxon	include	344008
62-1	Mirounga leonina	taxon	include	231413
62-2	Hydrurga leptonyx	taxon	include	231417
62-2	Leptonychotes weddellii	taxon	include	195932
62-2	Lobodon carcinophaga	taxon	include	344008
62-2	Mirounga leonina	taxon	include	231413
63-1	Hydrurga leptonyx	taxon	include	231417
63-1	Leptonychotes weddellii	taxon	include	195932
63-1	Lobodon carcinophaga	taxon	include	344008
63-1	Mirounga leonina	taxon	include	231413
63-2	Hydrurga leptonyx	taxon	include	231417
63-2	Leptonychotes weddellii	taxon	include	195932
63-2	Lobodon carcinophaga	taxon	include	344008
63-2	Mirounga leonina	taxon	include	231413
64-1	Hydrurga leptonyx	taxon	include	231417
64-1	Leptonychotes weddellii	taxon	include	195932
64-1	Lobodon carcinophaga	taxon	include	344008
64-1	Mirounga leonina	taxon	include	231413
64-2	Hydrurga leptonyx	taxon	include	231417
64-2	Leptonychotes weddellii	taxon	include	195932
64-2	Lobodon carcinophaga	taxon	include	344008
64-2	Mirounga leonina	taxon	include	231413
65-1	Hydrurga leptonyx	taxon	include	231417
65-1	Leptonychotes weddellii	taxon	include	195932
65-1	Lobodon carcinophaga	taxon	include	344008
65-1	Mirounga leonina	taxon	include	231413
65-2	Hydrurga leptonyx	taxon	include	231417
65-2	Leptonychotes weddellii	taxon	include	195932
65-2	Lobodon carcinophaga	taxon	include	344008
65-2	Mirounga leonina	taxon	include	231413
66-1	Hydrurga leptonyx	taxon	include	231417
66-1	Leptonychotes weddellii	taxon	include	195932
66-1	Lobodon carcinophaga	taxon	include	344008
66-1	Mirounga leonina	taxon	include	231413
66-2	Hydrurga leptonyx	taxon	include	231417
66-2	Leptonychotes weddellii	taxon	include	195932
66-2	Lobodon carcinophaga	taxon	include	344008
66-2	Mirounga leonina	taxon	include	231413
67-1	Hydrurga leptonyx	taxon	include	231417
67-1	Leptonychotes weddellii	taxon	include	195932
67-1	Lobodon carcinophaga	taxon	include	344008
67-1	Mirounga leonina	taxon	include	231413
67-2	Hydrurga leptonyx	taxon	include	231417
67-2	Leptonychotes weddellii	taxon	include	195932
67-2	Lobodon carcinophaga	taxon	include	344008
67-2	Mirounga leonina	taxon	include	231413
68-1	Hydrurga leptonyx	taxon	include	231417
68-1	Leptonychotes weddellii	taxon	include	195932
68-1	Lobodon carcinophaga	taxon	include	344008
68-1	Mirounga leonina	taxon	include	231413
68-2	Hydrurga leptonyx	taxon	include	231417
68-2	Leptonychotes weddellii	taxon	include	195932
68-2	Lobodon carcinophaga	taxon	include	344008
68-2	Mirounga leonina	taxon	include	231413
69-1	Hydrurga leptonyx	taxon	include	231417
69-1	Leptonychotes weddellii	taxon	include	195932
69-1	Lobodon carcinophaga	taxon	include	344008
69-1	Mirounga leonina	taxon	include	231413
69-2	Hydrurga leptonyx	taxon	include	231417
69-2	Leptonychotes weddellii	taxon	include	195932
69-2	Lobodon carcinophaga	taxon	include	344008
69-2	Mirounga leonina	taxon	include	231413
7-1	Hydrurga leptonyx	taxon	include	231417
7-1	Leptonychotes weddellii	taxon	include	195932
7-1	Lobodon carcinophaga	taxon	include	344008
7-1	Mirounga leonina	taxon	include	231413
7-2	Hydrurga leptonyx	taxon	include	231417
7-2	Leptonychotes weddellii	taxon	include	195932
7-2	Lobodon carcinophaga	taxon	include	344008
7-2	Mirounga leonina	taxon	include	231413
70-1	Hydrurga leptonyx	taxon	include	231417
70-1	Leptonychotes weddellii	taxon	include	195932
70-1	Lobodon carcinophaga	taxon	include	344008
70-1	Mirounga leonina	taxon	include	231413
70-2	Hydrurga leptonyx	taxon	include	231417
70-2	Leptonychotes weddellii	taxon	include	195932
70-2	Lobodon carcinophaga	taxon	include	344008
70-2	Mirounga leonina	taxon	include	231413
71-1	Hydrurga leptonyx	taxon	include	231417
71-1	Leptonychotes weddellii	taxon	include	195932
71-1	Lobodon carcinophaga	taxon	include	344008
71-1	Mirounga leonina	taxon	include	231413
71-2	Hydrurga leptonyx	taxon	include	231417
71-2	Leptonychotes weddellii	taxon	include	195932
