surveyTargetID	observedTaxon	observedTaxonID	organismQuantity	organismQuantityType
2-1-231413-3-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	71	individuals
2-1-231413-4-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	individuals
2-1-231417-1-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
2-1-231417-1-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
2-1-231417-1-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
2-1-231417-2-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
2-1-231417-2-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
2-1-231417-2-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
2-1-231417-3-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	0	individual
2-1-195932-1-1	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	10	individuals
2-1-195932-1-2	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	8	individuals
